keyword,category,proposed_title,meta_description,suggested_keywords,article_sections,why_needed,related_existing_terms,related_planned_terms,priority
spalling,pavement-defects,"Spalling in Concrete and Pavement Surfaces","Spalling is the breaking, chipping, or flaking of concrete or asphalt surface at joints, edges, or cracks, often exposing aggregate or reinforcing steel. In airport and road inspection, spalling is a critical structural defect indicating moisture ingress, freeze-thaw damage, or corrosion-driven delamination. Covers severity classification from AASHTO element inspection, FHWA LTPP measurement methods, and image-based detection approaches.",concrete spalling; pavement spalling; joint spalling; AASHTO spall severity; concrete deterioration; surface defects; bridge deck spalling; exposed aggregate,"1. Definition and Mechanism; 2. Types of Spalling (joint spall, corner spall, surface spall); 3. Severity Classification (AASHTO <25mm moderate vs >25mm severe); 4. Causes (corrosion, freeze-thaw, ASR, poor construction); 5. Detection Methods (visual, chain drag, IR thermography, AI); 6. Spalling in Airport Pavements; 7. Repair and Prevention",Core defect type for concrete bridge, runway, and road inspection. TarmacView detects spalling via its multi-label structural defect head.,concrete; crack; defect; deformation; pavement; runway-surface; corrosion,efflorescence; delamination; exposed-rebar; scaling; joint-spalling; alkali-silica-reaction,high
efflorescence,concrete-defects,"Efflorescence on Concrete and Masonry Surfaces","Efflorescence is the white crystalline deposit of water-soluble salts on concrete and masonry surfaces, formed when water migrates through the material and evaporates. In structural inspection, efflorescence signals moisture penetration, potential internal deterioration, and conditions favorable for reinforcement corrosion. Covers chemical formation, visual detection by AI, severity implications, and differentiation from other white surface deposits.",efflorescence; concrete efflorescence; salt deposits; moisture penetration; concrete staining; white crystalline deposits; secondary efflorescence; calcium carbonate,"1. Definition and Chemistry; 2. Primary vs Secondary Efflorescence; 3. Formation Mechanism (water migration, carbonation); 4. Visual Characteristics and Detection; 5. Significance for Structural Health; 6. Differentiation from Mold, Paint, and Other Deposits; 7. Efflorescence in Airport/Airfield Structures; 8. Prevention and Remediation",Key visual defect signal for concrete structures in TarmacView's multi-domain defect detection pipeline.,concrete; corrosion; moisture; defect; bridge-deck,spalling; delamination; carbonation; chloride-attack; concrete-cover,high
rebar,reinforcement,"Reinforcing Steel (Rebar) in Concrete Structures","Rebar is steel reinforcing bar embedded in concrete to carry tensile loads that concrete alone cannot resist. In infrastructure inspection, rebar condition is paramount — exposed or corroded rebar indicates advanced structural deterioration. Covers rebar types, concrete cover requirements, corrosion mechanisms, AASHTO/FHWA inspection criteria, and how AI-based inspection detects exposed rebar and estimates corrosion risk.",reinforcing steel; rebar; reinforcement; steel reinforcement; concrete reinforcement; exposed rebar; rebar corrosion; concrete cover; bar sizes; deformed bar,"1. Definition and Purpose; 2. Types of Rebar (carbon steel, epoxy-coated, galvanized, stainless, GFRP); 3. Rebar Grades and Sizes; 4. Concrete Cover and Its Role; 5. Rebar Corrosion Mechanisms; 6. Detection of Exposed/Corroded Rebar; 7. AASHTO/FHWA Inspection Criteria; 8. Rebar in Airport Pavements and Structures; 9. Repair Strategies",Essential term for reinforced concrete inspection. TarmacView detects exposed_rebar as a critical defect in the structural defect head.,concrete; corrosion; crack; defect; bridge-deck; construction; deformation,exposed-rebar; concrete-cover; cathodic-protection; epoxy-coated-rebar; post-tensioning; half-cell-potential; cover-meter,high
delamination,concrete-defects,"Delamination in Concrete Bridge Decks and Pavements","Delamination is the separation of concrete layers near the surface, often caused by corroding reinforcing steel expanding and fracturing the surrounding concrete. It creates subsurface voids detectable by hammer sounding, chain drag, or infrared thermography before surface spalling occurs. Covers delamination mechanisms, AASHTO inspection methods, and emerging AI/drone-based detection for bridge and runway inspections.",delamination; concrete delamination; bridge deck delamination; subsurface void; concrete separation; corrosion-induced delamination; IR thermography; chain drag; hammer sounding,"1. Definition and Mechanism; 2. Causes (rebar corrosion, freeze-thaw, construction defects); 3. How Delamination Leads to Spalling; 4. Detection Methods: Traditional (chain drag, hammer sounding); 5. Detection Methods: NDT (IR thermography, impact-echo, GPR); 6. Detection Methods: AI/Drone-Based; 7. Severity and Repair Prioritization; 8. Delamination in Airport Infrastructure",Common concrete bridge deck and runway defect. Critical for assessing structural condition before surface evidence appears.,concrete; corrosion; defect; crack; bridge-deck; inspection,spalling; exposed-rebar; infrared-thermography; ground-penetrating-radar; impact-echo; half-cell-potential; non-destructive-testing,high
rutting,pavement-defects,"Rutting in Asphalt and Flexible Pavements","Rutting is a permanent longitudinal depression in the wheel paths of asphalt pavements caused by densification, shear deformation, or subgrade failure under repeated traffic loading. In airport runways, rutting is especially critical due to heavy aircraft loads and can create water-ponding and hydroplaning hazards. Covers rutting mechanisms, TxDOT shallow/deep/severe scale, measurement methods, and AI-based visual detection from drone imagery.",rutting; pavement rutting; wheel-path depression; asphalt deformation; shear flow rutting; pavement distress; TxDOT rutting scale; rut depth measurement; hydroplaning,1. Definition and Types (densification rutting; shear-flow rutting; subgrade rutting); 2. Causes (heavy loads; high temperatures; mix design issues); 3. Rutting Severity Classification (TxDOT shallow/deep/severe); 4. Measurement Methods (straightedge; profilometer; LiDAR; drone); 5. Rutting in Airport Runways (ACN-PCN; aircraft loading); 6. Effects on Safety (water ponding; hydroplaning; FOD); 7. Visual/RGB Detection by AI; 8. Repair Strategies (milling; overlay; reconstruction),Key asphalt pavement distress measured in road and runway surveys. TarmacView can detect rutting as a visual surface quality proxy.,asphalt; pavement; runway-surface; deformation; friction; hydroplaning; skid-resistance,raveling; bleeding; flushing; corrugation; shoving; profilograph; international-roughness-index; pavement-condition-index,high
raveling,pavement-defects,"Raveling of Asphalt and Concrete Pavement Surfaces","Raveling is the progressive dislodgement and loss of aggregate particles from the pavement surface due to binder aging, oxidation, or poor compaction. In airport pavements, raveling generates FOD (Foreign Object Debris) — loose aggregate that can be ingested by jet engines. Covers FHWA LTPP and TxDOT classification, visual proxies for binder/aggregate loss, and AI-based detection of surface texture degradation.",raveling; pavement raveling; aggregate loss; surface wear; binder aging; asphalt oxidation; FOD generation; TxDOT raveling scale; surface texture degradation,"1. Definition and Mechanism; 2. Causes (binder oxidation; stripping; poor compaction; aging); 3. Raveling vs Other Surface Defects (polishing; scaling); 4. Severity Classification (FHWA LTPP; TxDOT low/medium/high); 5. Raveling in Airport Pavements and FOD Risk; 6. Visual Detection (R/G/B imaging; AI-based texture analysis); 7. Raveling as Binder/Aggregate Loss Proxy; 8. Prevention (seal coats; rejuvenators); 9. Maintenance Treatments",Surface defect proxy for binder and aggregate loss. Important for road quality grading and FOD risk assessment in airports.,asphalt; pavement; runway-surface; FOD; foreign-object-debris; defect; friction,polished-aggregate; bleeding; flushing; fog-seal; rejuvenator; pavement-condition-index; surface-texture; microtexture,high
alligator-cracking,pavement-defects,"Alligator (Fatigue) Cracking in Asphalt Pavements","Alligator cracking — also called fatigue cracking — is an interconnected crack pattern resembling alligator skin that indicates structural failure of the asphalt layer under repeated traffic loading. In FHWA LTPP, it has low/moderate/high severity based on crack connectivity, spalling, and pumping evidence. Covers formation mechanics, classification, quantitative measurement, and automated crack-type detection using computer vision.",alligator cracking; fatigue cracking; crocodile cracking; asphalt fatigue; interconnected cracking; FHWA LTPP alligator cracking; pavement structural failure; crack pattern analysis; crack severity,1. Definition and Visual Characteristics; 2. Formation Mechanism (bottom-up vs top-down fatigue); 3. FHWA LTPP Severity Classification (low/moderate/high); 4. TxDOT and ASTM D6433 Classification; 5. Measurement Methods (affected area in m²); 6. Differentiation from Block Cracking and Map Cracking; 7. Alligator Cracking in Airport Pavements; 8. AI-Based Detection and Classification; 9. Repair Strategies,Primary asphalt fatigue distress in FHWA LTPP taxonomy. TarmacView crack type head targets this pattern for road quality assessment.,crack; asphalt; pavement; deformation; defect; runway-surface,block-cracking; longitudinal-cracking; transverse-cracking; edge-cracking; fatigue-cracking; pavement-condition-index; pci; crack-segmentation,high
block-cracking,pavement-defects,"Block Cracking in Asphalt Pavements","Block cracking is a pattern of interconnected rectangular cracks dividing the pavement surface into roughly rectangular blocks typically 0.3 to 3 m in size. Unlike alligator cracking, block cracking is primarily caused by asphalt binder aging and thermal cycling rather than traffic loading. Covers FHWA LTPP classification, differentiation from other crack types, and automated detection.",block cracking; asphalt block cracking; thermal cracking; binder aging; rectangular cracking; FHWA LTPP block cracking; pavement distress classification,1. Definition and Pattern Characteristics; 2. Causes (binder aging; thermal contraction; volume change); 3. FHWA LTPP Severity Classification; 4. Differentiation from Alligator and Shrinkage Cracking; 5. Measurement (block size; crack width; affected area); 6. Implications for Pavement Condition; 7. Detection by Computer Vision; 8. Maintenance Approaches,Distinct asphalt distress type in FHWA LTPP — different cause and pattern from alligator fatigue cracking.,crack; asphalt; pavement; defect; deformation,alligator-cracking; transverse-cracking; longitudinal-cracking; fatigue-cracking; reflective-cracking; pavement-condition-index,high
longitudinal-cracking,pavement-defects,"Longitudinal Cracking in Asphalt and Concrete Pavements","Longitudinal cracks run parallel to the pavement centerline or direction of travel. Causes include poor construction joint bonding, reflective cracking from underlying layers, and volume changes. In FHWA LTPP and TxDOT taxonomies, longitudinal cracking has defined severity levels. Covers mechanics, classification, measurement, and automated crack orientation detection with AI.",longitudinal cracking; linear cracking; pavement crack; crack orientation; FHWA LTPP longitudinal crack; construction joint cracking; reflective cracking; asphalt crack,1. Definition and Orientation; 2. Causes (joint failure; reflective cracking; thermal stress; differential settlement); 3. FHWA LTPP Severity Levels (low/moderate/high); 4. TxDOT Classification; 5. Measurement (length; width; location); 6. Longitudinal Cracking in Rigid Pavements; 7. Detection by AI (orientation classification; semantic segmentation); 8. Maintenance and Sealing,Key asphalt/PCC distress in FHWA LTPP. Important for crack-type classification in TarmacView analysis pipeline.,crack; asphalt; concrete; pavement; deformation; defect,transverse-cracking; edge-cracking; reflective-cracking; alligator-cracking; block-cracking; crack-sealing; joint-spalling,high
transverse-cracking,pavement-defects,"Transverse Cracking in Asphalt and Concrete Pavements","Transverse cracks run perpendicular to the pavement centerline, most commonly caused by thermal contraction at low temperatures (thermal cracking) or reflective cracking from underlying joints. In FHWA LTPP, they have defined low/moderate/high severity. Covers thermal cracking mechanism, spacing patterns, severity classification, and automated detection of crack orientation.",transverse cracking; thermal cracking; low-temperature cracking; asphalt thermal crack; reflective crack; FHWA LTPP transverse crack; crack spacing; pavement temperature stress,1. Definition and Orientation; 2. Causes (thermal contraction; reflective cracking; shrinkage); 3. FHWA LTPP Severity Classification; 4. Crack Spacing and Its Significance; 5. Transverse Cracking in PCC Pavements; 6. Measurement (count; spacing; width); 7. AI-Based Detection; 8. Crack Sealing and Repair,Key asphalt distress in FHWA LTPP. Important for crack-type classification in TarmacView.,crack; asphalt; concrete; pavement; defect; deformation; concrete-runway,longitudinal-cracking; block-cracking; reflective-cracking; edge-cracking; joint-spalling; crack-sealing; thermal-cracking,high
